title	genre	north_america_release	source_page
Fieldrunners 2	Tower defense	Dec 23, 2014	List_of_PlayStation_Vita_games_(E–H)
FIFA 13	Sports	Sep 25, 2012	List_of_PlayStation_Vita_games_(E–H)
FIFA 14: Legacy Edition	Sports	Sep 24, 2013	List_of_PlayStation_Vita_games_(E–H)
FIFA 15: Legacy Edition	Sports	Sep 24, 2014	List_of_PlayStation_Vita_games_(E–H)
FIFA Football	Sports	Feb 15, 2012	List_of_PlayStation_Vita_games_(E–H)
Fifty Words by POWGI	Puzzle	Sep 3, 2019	List_of_PlayStation_Vita_games_(E–H)
Fill-a-Pix: Phil's Epic Adventure	Puzzle	Jul 24, 2018	List_of_PlayStation_Vita_games_(E–H)
Final Fantasy X HD	Role-playing	Mar 18, 2014	List_of_PlayStation_Vita_games_(E–H)
Final Fantasy X-2 HD	Role-playing	Mar 18, 2014	List_of_PlayStation_Vita_games_(E–H)
Final Horizon	Real-time strategy	Dec 2, 2014	List_of_PlayStation_Vita_games_(E–H)
Fireworks	Arcade	Feb 21, 2012	List_of_PlayStation_Vita_games_(E–H)
Flame Over	Roguelike	Mar 10, 2015	List_of_PlayStation_Vita_games_(E–H)
Floating Cloud God Saves the Pilgrims in HD!	Action	Aug 27, 2013	List_of_PlayStation_Vita_games_(E–H)
Flow	Life simulation	Dec 17, 2013	List_of_PlayStation_Vita_games_(E–H)
Flower	Adventure	Nov 12, 2013	List_of_PlayStation_Vita_games_(E–H)
Flyhunter Origins	Platform	Dec 9, 2014	List_of_PlayStation_Vita_games_(E–H)
Flying Hamster HD	Action	Jun 11, 2013	List_of_PlayStation_Vita_games_(E–H)
Foosball 2012	Sports	Jul 24, 2012	List_of_PlayStation_Vita_games_(E–H)
Football Game	Adventure	Nov 5, 2019	List_of_PlayStation_Vita_games_(E–H)
Football Manager Classic 2014	Simulation	May 6, 2014	List_of_PlayStation_Vita_games_(E–H)
Forma.8	Action-adventure	Feb 23, 2017	List_of_PlayStation_Vita_games_(E–H)
Fort Defense	Real-time strategy	Feb 11, 2014	List_of_PlayStation_Vita_games_(E–H)
Fort Defense North Menace	Real-time strategy	Mar 11, 2014	List_of_PlayStation_Vita_games_(E–H)
Foul Play	Adventure	Feb 23, 2016	List_of_PlayStation_Vita_games_(E–H)
Foxyland	Platform	Nov 27, 2019	List_of_PlayStation_Vita_games_(E–H)
Foxyland 2	Platform	Jan 21, 2020	List_of_PlayStation_Vita_games_(E–H)
Frane: Dragons' Odyssey	Role-Playing	May 7, 2019	List_of_PlayStation_Vita_games_(E–H)
Freedom Wars	Action role-playing	Oct 28, 2014	List_of_PlayStation_Vita_games_(E–H)
Frobisher Says!	Puzzle	Oct 23, 2012	List_of_PlayStation_Vita_games_(E–H)
Frozen Synapse: Prime	Turn-based strategy	Sep 23, 2014	List_of_PlayStation_Vita_games_(E–H)
Fruit Ninja	Arcade	Aug 13, 2013	List_of_PlayStation_Vita_games_(E–H)
Full Throttle Remastered	Adventure	Apr 18, 2017	List_of_PlayStation_Vita_games_(E–H)
FullBlast	Shooter	Sep 4, 2018	List_of_PlayStation_Vita_games_(E–H)
Funk of Titans	Platform	Jun 21, 2016	List_of_PlayStation_Vita_games_(E–H)
Furmins	Puzzle	Oct 31, 2013	List_of_PlayStation_Vita_games_(E–H)
Furwind	Platform	Jun 31, 2019	List_of_PlayStation_Vita_games_(E–H)
Futuridium EP Deluxe	Shooter	Sep 30, 2014	List_of_PlayStation_Vita_games_(E–H)
Gal*Gun: Double Peace	Rail shooter	Aug 2, 2016	List_of_PlayStation_Vita_games_(E–H)
Ganbare! Super Strikers	Sports	Feb 25, 2020	List_of_PlayStation_Vita_games_(E–H)
Garou: Mark of the Wolves	Fighting	Dec 3, 2016	List_of_PlayStation_Vita_games_(E–H)
Geki Yaba Runner	Runner	Jan 31, 2017	List_of_PlayStation_Vita_games_(E–H)
Gem Legends	Puzzle	Sep 29, 2015	List_of_PlayStation_Vita_games_(E–H)
Gem Smashers	Puzzle	Mar 7, 2017	List_of_PlayStation_Vita_games_(E–H)
Geometry Wars 3: Dimensions Evolved	Shooter	Jul 7, 2015	List_of_PlayStation_Vita_games_(E–H)
Germinator	Puzzle	Mar 5, 2013	List_of_PlayStation_Vita_games_(E–H)
Get off my Lawn!	Action	Nov 11, 2014	List_of_PlayStation_Vita_games_(E–H)
Ghoulboy	Action	Mar 5, 2019	List_of_PlayStation_Vita_games_(E–H)
God Eater 2: Rage Burst	Action role-playing	Aug 30, 2016	List_of_PlayStation_Vita_games_(E–H)
God Eater Resurrection	Action role-playing	Jun 28, 2016	List_of_PlayStation_Vita_games_(E–H)
God of War Collection	Action	May 6, 2014	List_of_PlayStation_Vita_games_(E–H)
God Wars: Future Past	Tactical role-playing	Jun 20, 2017	List_of_PlayStation_Vita_games_(E–H)
Gods of Almagest	Puzzle	Feb 25, 2021	List_of_PlayStation_Vita_games_(E–H)
Grand Kingdom	Tactical role-playing	Jun 21, 2016	List_of_PlayStation_Vita_games_(E–H)
Grass Cutter: Mutated Lawns	Action	Jul 10, 2019	List_of_PlayStation_Vita_games_(E–H)
Gravity Badgers	Action	Aug 19, 2014	List_of_PlayStation_Vita_games_(E–H)
Gravity Crash Ultra	Shoot 'em up	Aug 12, 2014	List_of_PlayStation_Vita_games_(E–H)
Gravity Duck	Platform	Aug 13, 2019	List_of_PlayStation_Vita_games_(E–H)
Gravity Rush	Action-adventure	Jun 12, 2012	List_of_PlayStation_Vita_games_(E–H)
Green Game: TimeSwapper	Platform	Apr 5, 2016	List_of_PlayStation_Vita_games_(E–H)
Grim Fandango Remastered	Adventure	Jan 27, 2015	List_of_PlayStation_Vita_games_(E–H)
Guacamelee!	Platform	Apr 9, 2013	List_of_PlayStation_Vita_games_(E–H)
Guard Duty	Adventure	Apr 21, 2020	List_of_PlayStation_Vita_games_(E–H)
Guilty Gear XX Accent Core Plus R	Fighting	Apr 23, 2013	List_of_PlayStation_Vita_games_(E–H)
Gunhouse	Tower defense	Dec 19, 2017	List_of_PlayStation_Vita_games_(E–H)
Gunslugs	Shooter	Feb 18, 2014	List_of_PlayStation_Vita_games_(E–H)
Habroxia	Shooter	Sep 19, 2019	List_of_PlayStation_Vita_games_(E–H)
Habroxia 2	Shooter	Feb 3, 2021	List_of_PlayStation_Vita_games_(E–H)
Hakuōki: Edo Blossoms	Otome game	Mar 13, 2018	List_of_PlayStation_Vita_games_(E–H)
Hakuōki: Kyoto Winds	Otome game	May 16, 2017	List_of_PlayStation_Vita_games_(E–H)
Halloween Forever	Platform	Oct 22, 2018	List_of_PlayStation_Vita_games_(E–H)
Handball 16	Sports	Nov 30, 2015	List_of_PlayStation_Vita_games_(E–H)
Hatoful Boyfriend	Dating sim	Jul 21, 2015	List_of_PlayStation_Vita_games_(E–H)
Hatoful Boyfriend: Holiday Star	Dating sim	Dec 22, 2015	List_of_PlayStation_Vita_games_(E–H)
Hatsune Miku: Project Diva F	Rhythm	Mar 4, 2014	List_of_PlayStation_Vita_games_(E–H)
Hatsune Miku: Project Diva F 2nd	Rhythm	Nov 18, 2014	List_of_PlayStation_Vita_games_(E–H)
Hatsune Miku: Project Diva X	Rhythm	Aug 30, 2016	List_of_PlayStation_Vita_games_(E–H)
Helldivers	Shooter	Mar 3, 2015	List_of_PlayStation_Vita_games_(E–H)
Heroes of Loot	Action	Sep 22, 2015	List_of_PlayStation_Vita_games_(E–H)
Heroes Trials	Action role-playing	Jan 22, 2019	List_of_PlayStation_Vita_games_(E–H)
Himno	Platform	Sep 11, 2019	List_of_PlayStation_Vita_games_(E–H)
Hitman Go: Definitive Edition	Puzzle	Feb 23, 2016	List_of_PlayStation_Vita_games_(E–H)
Hoggy 2	Action	Jul 23, 2019	List_of_PlayStation_Vita_games_(E–H)
Hohokum	Action	Aug 12, 2014	List_of_PlayStation_Vita_games_(E–H)
Home	Adventure	Nov 4, 2014	List_of_PlayStation_Vita_games_(E–H)
Horizon Chase Turbo	Racing	Jun 18, 2020	List_of_PlayStation_Vita_games_(E–H)
Hot Shots Golf: World Invitational • Everybody's Golf 6 JP	Sports	Feb 15, 2012	List_of_PlayStation_Vita_games_(E–H)
Hotaru no Nikki	Adventure	Feb 24, 2015	List_of_PlayStation_Vita_games_(E–H)
Hotline Miami	Shooter	Jun 25, 2013	List_of_PlayStation_Vita_games_(E–H)
Hotline Miami 2: Wrong Number	Shooter	Mar 10, 2015	List_of_PlayStation_Vita_games_(E–H)
HTR+ Slot Car Simulation	Racing	Nov 17, 2015	List_of_PlayStation_Vita_games_(E–H)
Hue	Platform	Nov 29, 2016	List_of_PlayStation_Vita_games_(E–H)
Hustle Kings	Sports	Feb 15, 2012	List_of_PlayStation_Vita_games_(E–H)
Hyperdevotion Noire: Goddess Black Heart	Tactical role-playing	Feb 24, 2015	List_of_PlayStation_Vita_games_(E–H)
Hyperdimension Neptunia Re;Birth 1	Role-playing	Aug 26, 2014	List_of_PlayStation_Vita_games_(E–H)
Hyperdimension Neptunia Re;Birth 2: Sisters Generation	Role-playing	Jan 27, 2015	List_of_PlayStation_Vita_games_(E–H)
Hyperdimension Neptunia Re;Birth 3: V Generation	Role-playing	Jun 30, 2015	List_of_PlayStation_Vita_games_(E–H)
Hyperdimension Neptunia U: Action Unleashed	Action	May 19, 2015	List_of_PlayStation_Vita_games_(E–H)
Hyperdimension Neptunia: Producing Perfection	Raising simulation, rhythm	Jun 3, 2014	List_of_PlayStation_Vita_games_(E–H)
I Am The Hero	Beat 'em up	Nov 27, 2018	List_of_PlayStation_Vita_games_(I–L)
I and Me	Platform	Mar 5, 2019	List_of_PlayStation_Vita_games_(I–L)
Ice Cream Surfer	Shooter	Jul 17, 2018	List_of_PlayStation_Vita_games_(I–L)
Iconoclasts	Platform	Jan 23, 2018	List_of_PlayStation_Vita_games_(I–L)
Illusion of L'Phalcia	Role-playing	Aug 6, 2019	List_of_PlayStation_Vita_games_(I–L)
Imaginstruments	Application	Jan 9, 2013	List_of_PlayStation_Vita_games_(I–L)
Indigo 7: Quest for Love	Puzzle	Aug 30, 2021	List_of_PlayStation_Vita_games_(I–L)
Indoor Sports World	Sports	Dec 17, 2013	List_of_PlayStation_Vita_games_(I–L)
Injustice: Gods Among Us Ultimate Edition	Fighting	Nov 12, 2013	List_of_PlayStation_Vita_games_(I–L)
InkSplosion	Shooter	May 8, 2018	List_of_PlayStation_Vita_games_(I–L)
Invizimals: The Alliance	Action	Sep 30, 2014	List_of_PlayStation_Vita_games_(I–L)
Invizimals: The Resistance	Action	May 26, 2015	List_of_PlayStation_Vita_games_(I–L)
Invokers Tournament	Multiplayer online battle arena	Sep 15, 2015	List_of_PlayStation_Vita_games_(I–L)
iO	Platform	Feb 14, 2017	List_of_PlayStation_Vita_games_(I–L)
Iron Sea Defenders	Tower defense	Nov 22, 2016	List_of_PlayStation_Vita_games_(I–L)
Iron Snout	Beat 'em up	Apr 16, 2019	List_of_PlayStation_Vita_games_(I–L)
It's Spring Again	Educational	Jul 28, 2017	List_of_PlayStation_Vita_games_(I–L)
J-Stars Victory VS	Fighting	Mar 19, 2014	List_of_PlayStation_Vita_games_(I–L)
J-Stars Victory VS Plus	Fighting	Jun 26, 2015	List_of_PlayStation_Vita_games_(I–L)
Jack N' Jill DX	Platform	Sep 25, 2018	List_of_PlayStation_Vita_games_(I–L)
Jacob Jones and the Bigfoot Mystery	Adventure, puzzle	May 14, 2013	List_of_PlayStation_Vita_games_(I–L)
Jak 3 HD	Action-platform	Jun 18, 2013	List_of_PlayStation_Vita_games_(I–L)
Jak and Daxter: The Precursor Legacy HD	Action-platform	Jun 18, 2013	List_of_PlayStation_Vita_games_(I–L)
Jak II HD	Action-platform	Jun 18, 2013	List_of_PlayStation_Vita_games_(I–L)
Jet Car Stunts	Racing	Oct 7, 2014	List_of_PlayStation_Vita_games_(I–L)
Jet Set Knights	Action	Jun 21, 2023	List_of_PlayStation_Vita_games_(I–L)
Jet Set Radio	Action	Oct 16, 2012	List_of_PlayStation_Vita_games_(I–L)
Jetpack Joyride	Endless runner	Dec 31, 2012	List_of_PlayStation_Vita_games_(I–L)
Jetpack Joyride Deluxe	Endless runner	Nov 25, 2014	List_of_PlayStation_Vita_games_(I–L)
Joe Danger	Racing, platform	Sep 2, 2014	List_of_PlayStation_Vita_games_(I–L)
Joe Danger 2: The Movie	Racing, platform	Jan 13, 2015	List_of_PlayStation_Vita_games_(I–L)
Jungle Rumble	Rhythm	Feb 10, 2015	List_of_PlayStation_Vita_games_(I–L)
Just a Phrase by POWGI	Puzzle	Feb 4, 2020	List_of_PlayStation_Vita_games_(I–L)
Just Ignore Them	Adventure	Oct 15, 2019	List_of_PlayStation_Vita_games_(I–L)
Kawaii Deathu Desu	Beat 'em up	Aug 14, 2020	List_of_PlayStation_Vita_games_(I–L)
Kick & Fennick	Platform	Feb 3, 2015	List_of_PlayStation_Vita_games_(I–L)
KickBeat	Rhythm	Sep 3, 2013	List_of_PlayStation_Vita_games_(I–L)
Kid Tripp	Platform	Jun 25, 2019	List_of_PlayStation_Vita_games_(I–L)
Kilka Card Gods	Card game	Jun 10, 2014	List_of_PlayStation_Vita_games_(I–L)
Killer Dolls United	Action	Jul 20, 2021	List_of_PlayStation_Vita_games_(I–L)
Killzone: Mercenary	First-person shooter	Sep 10, 2013	List_of_PlayStation_Vita_games_(I–L)
King Oddball	Puzzle	Feb 4, 2014	List_of_PlayStation_Vita_games_(I–L)
Knight Solitaire	Puzzle	Mar 29, 2016	List_of_PlayStation_Vita_games_(I–L)
Knightin'+	Dungeon crawler	Feb 18, 2020	List_of_PlayStation_Vita_games_(I–L)
Knobswitch	Application	Nov 22, 2016	List_of_PlayStation_Vita_games_(I–L)
Knock-Knock	Survival horror	Feb 23, 2016	List_of_PlayStation_Vita_games_(I–L)
Knytt Underground	Platform	Dec 18, 2012	List_of_PlayStation_Vita_games_(I–L)
Koi	Puzzle	Sep 26, 2017	List_of_PlayStation_Vita_games_(I–L)
Krinkle Krusher	Tower defense	Apr 7, 2015	List_of_PlayStation_Vita_games_(I–L)
Kung Fu Rabbit	Platform	Jul 16, 2013	List_of_PlayStation_Vita_games_(I–L)
Kung Fury: Street Rage	Beat 'em up	May 25, 2017	List_of_PlayStation_Vita_games_(I–L)
La-Mulana EX	Platform	Mar 3, 2015	List_of_PlayStation_Vita_games_(I–L)
Lara Croft Go	Puzzle	Dec 3, 2016	List_of_PlayStation_Vita_games_(I–L)
Laser Disco Defenders	Shooter	Aug 2, 2016	List_of_PlayStation_Vita_games_(I–L)
Last Wings	Shooter	Jul 12, 2016	List_of_PlayStation_Vita_games_(I–L)
League of Evil	Platform	Apr 10, 2018	List_of_PlayStation_Vita_games_(I–L)
Legend of the Skyfish	Action	Aug 27, 2019	List_of_PlayStation_Vita_games_(I–L)
Legends of War: Patton	Turn-based strategy	Jul 8, 2013	List_of_PlayStation_Vita_games_(I–L)
Lego Batman 2: DC Super Heroes	Action-adventure	Jun 19, 2012	List_of_PlayStation_Vita_games_(I–L)
Lego Batman 3: Beyond Gotham	Action-adventure	Nov 11, 2014	List_of_PlayStation_Vita_games_(I–L)
Lego Harry Potter: Years 5–7	Action-adventure	Mar 6, 2012	List_of_PlayStation_Vita_games_(I–L)
Lego Jurassic World	Action-adventure	Jun 9, 2015	List_of_PlayStation_Vita_games_(I–L)
Lego Legends of Chima: Laval's Journey	Action-adventure	Jun 25, 2013	List_of_PlayStation_Vita_games_(I–L)
Lego Marvel Super Heroes: Universe in Peril	Action-adventure	Oct 22, 2013	List_of_PlayStation_Vita_games_(I–L)
Lego Marvel's Avengers	Action-adventure	Jan 26, 2016	List_of_PlayStation_Vita_games_(I–L)
Lego Ninjago: Nindroids	Action-adventure	Jul 29, 2014	List_of_PlayStation_Vita_games_(I–L)
Lego Ninjago: Shadow of Ronin	Action-adventure	Mar 24, 2015	List_of_PlayStation_Vita_games_(I–L)
Lego Star Wars: The Force Awakens	Action-adventure	Jun 28, 2016	List_of_PlayStation_Vita_games_(I–L)
Lego The Hobbit	Action-adventure	Apr 8, 2014	List_of_PlayStation_Vita_games_(I–L)
Lego The Lord of the Rings	Action-adventure	Oct 30, 2012	List_of_PlayStation_Vita_games_(I–L)
Lemmings Touch	Puzzle	May 27, 2014	List_of_PlayStation_Vita_games_(I–L)
Let's Fish! Hooked On	Sports	Jan 29, 2013	List_of_PlayStation_Vita_games_(I–L)
Letter Quest: Grimm's Journey Remastered	Puzzle	May 17, 2016	List_of_PlayStation_Vita_games_(I–L)
Level 22	Stealth	Feb 11, 2016	List_of_PlayStation_Vita_games_(I–L)
Lichtspeer	Action	Apr 11, 2017	List_of_PlayStation_Vita_games_(I–L)
Licky the Lucky Lizard Lives Again	Platform	Sep 5, 2017	List_of_PlayStation_Vita_games_(I–L)
Limbo	Puzzle-platform	Jun 4, 2013	List_of_PlayStation_Vita_games_(I–L)
Link-a-Pix Deluxe	Puzzle	Jan 7, 2020	List_of_PlayStation_Vita_games_(I–L)
Little Adventure on the Prairie	Adventure	Feb 22, 2018	List_of_PlayStation_Vita_games_(I–L)
Little Deviants	Arcade	Feb 15, 2012	List_of_PlayStation_Vita_games_(I–L)
Little Red Lie	Role-playing	Jan 9, 2018	List_of_PlayStation_Vita_games_(I–L)
LittleBigPlanet PS Vita	Platform	Sep 25, 2012	List_of_PlayStation_Vita_games_(I–L)
London Detective Mysteria	Otome game	Dec 18, 2018	List_of_PlayStation_Vita_games_(I–L)
Lone Survivor: The Director's Cut	Survival horror	Sep 24, 2013	List_of_PlayStation_Vita_games_(I–L)
Lost Cube, The	Adventure	May 5, 2021	List_of_PlayStation_Vita_games_(I–L)
Lost Dimension	Role-playing	Jul 7, 2015	List_of_PlayStation_Vita_games_(I–L)
Luckslinger	Platform	Jun 11, 2021	List_of_PlayStation_Vita_games_(I–L)
Luftrausers	Shooter	Mar 18, 2014	List_of_PlayStation_Vita_games_(I–L)
Lumines Electronic Symphony	Puzzle	Feb 15, 2012	List_of_PlayStation_Vita_games_(I–L)
Lumo	Action-adventure	Jul 5, 2016	List_of_PlayStation_Vita_games_(I–L)
Machinarium	Adventure	Mar 26, 2013	List_of_PlayStation_Vita_games_(M–O)
Madden NFL 13	Sports	Aug 28, 2012	List_of_PlayStation_Vita_games_(M–O)
Magical Beat	Rhythm, puzzle	Jun 17, 2014	List_of_PlayStation_Vita_games_(M–O)
Mahjong Carnival	Mahjong	Sep 22, 2015	List_of_PlayStation_Vita_games_(M–O)
Mahjong Gold	Mahjong	Sep 2, 2014	List_of_PlayStation_Vita_games_(M–O)
Mahjong Royal Towers	Mahjong	Dec 10, 2013	List_of_PlayStation_Vita_games_(M–O)
Mahjong World Contest	Mahjong	Apr 1, 2014	List_of_PlayStation_Vita_games_(M–O)
Maldita Castilla EX	Platform	Nov 9, 2017	List_of_PlayStation_Vita_games_(M–O)
Malicious Rebirth	Action	Oct 8, 2013	List_of_PlayStation_Vita_games_(M–O)
Maliya	Card game	Mar 29, 2016	List_of_PlayStation_Vita_games_(M–O)
Mary Skelter: Nightmares	Dungeon crawler	Sep 19, 2017	List_of_PlayStation_Vita_games_(M–O)
Mecho Tales	Platform	Sep 19, 2017	List_of_PlayStation_Vita_games_(M–O)
Mecho Wars: Desert Ashes	Strategy	Nov 20, 2018	List_of_PlayStation_Vita_games_(M–O)
Medieval Defenders	Tower defense	Apr 14, 2015	List_of_PlayStation_Vita_games_(M–O)
MegaTagmension Blanc + Neptune VS Zombies	Action	Apr 26, 2016	List_of_PlayStation_Vita_games_(M–O)
MeiQ: Labyrinth of Death	Dungeon crawler	Sep 13, 2016	List_of_PlayStation_Vita_games_(M–O)
Mekabolt	Puzzle-platform	Aug 21, 2019	List_of_PlayStation_Vita_games_(M–O)
Mekorama	Puzzle	Mar 26, 2020	List_of_PlayStation_Vita_games_(M–O)
Men's Room Mayhem	Arcade	May 21, 2013	List_of_PlayStation_Vita_games_(M–O)
Mercenary Kings: Reloaded Edition	Shoot 'em up	Feb 6, 2018	List_of_PlayStation_Vita_games_(M–O)
Metagal	Platform-Shooter	Mar 27, 2019	List_of_PlayStation_Vita_games_(M–O)
Metal Gear Solid 2: Sons of Liberty HD Edition	Action-adventure, stealth	Aug 21, 2012	List_of_PlayStation_Vita_games_(M–O)
Metal Gear Solid 3: Snake Eater HD Edition	Action-adventure, stealth	Aug 21, 2012	List_of_PlayStation_Vita_games_(M–O)
Metal Slug 3	Run and gun	Mar 24, 2015	List_of_PlayStation_Vita_games_(M–O)
Metrico	Puzzle-platform	Aug 5, 2014	List_of_PlayStation_Vita_games_(M–O)
Metropolis: Lux Obscura	Puzzle	Apr 4, 2018	List_of_PlayStation_Vita_games_(M–O)
Michael Jackson: The Experience	Rhythm	Feb 15, 2012	List_of_PlayStation_Vita_games_(M–O)
Midnight Deluxe	Puzzle	Mar 6, 2018	List_of_PlayStation_Vita_games_(M–O)
Miles & Kilo	Platform	Oct 29, 2019	List_of_PlayStation_Vita_games_(M–O)
Milo's Quest	Puzzle	Jan 29, 2020	List_of_PlayStation_Vita_games_(M–O)
Mind Maze	Puzzle	Jul 20, 2021	List_of_PlayStation_Vita_games_(M–O)
Mind Zero	Dungeon crawler	May 27, 2014	List_of_PlayStation_Vita_games_(M–O)
Minecraft	Sandbox	Oct 14, 2014	List_of_PlayStation_Vita_games_(M–O)
Minutes	Puzzle	Feb 10, 2015	List_of_PlayStation_Vita_games_(M–O)
Mixups by POWGI	Puzzle	Feb 20, 2019	List_of_PlayStation_Vita_games_(M–O)
MLB 12: The Show	Sports	Mar 6, 2012	List_of_PlayStation_Vita_games_(M–O)
MLB 13: The Show	Sports	Mar 5, 2013	List_of_PlayStation_Vita_games_(M–O)
MLB 14: The Show	Sports	Apr 1, 2014	List_of_PlayStation_Vita_games_(M–O)
MLB 15: The Show	Sports	Mar 31, 2015	List_of_PlayStation_Vita_games_(M–O)
Mobile Suit Gundam: Extreme VS-Force	Action	Jul 12, 2016	List_of_PlayStation_Vita_games_(M–O)
Mochi Mochi Boy	Puzzle	Jul 16, 2019	List_of_PlayStation_Vita_games_(M–O)
ModNation Racers: Road Trip	Racing	Feb 15, 2012	List_of_PlayStation_Vita_games_(M–O)
Monster Monpiece	Card battle	May 27, 2014	List_of_PlayStation_Vita_games_(M–O)
MonsterBag	Puzzle-platform	Apr 7, 2015	List_of_PlayStation_Vita_games_(M–O)
MOP: Operation Cleanup	Runner	May 10, 2016	List_of_PlayStation_Vita_games_(M–O)
Mortal Kombat	Fighting	May 1, 2012	List_of_PlayStation_Vita_games_(M–O)
MotoGP 13	Racing	Aug 5, 2014	List_of_PlayStation_Vita_games_(M–O)
MotoGP 14	Racing	Nov 4, 2014	List_of_PlayStation_Vita_games_(M–O)
MotorStorm: RC	Racing	Mar 6, 2012	List_of_PlayStation_Vita_games_(M–O)
Mousecraft	Puzzle	Jul 8, 2014	List_of_PlayStation_Vita_games_(M–O)
Mr. Pumpkin Adventure	Puzzle	Jul 11, 2017	List_of_PlayStation_Vita_games_(M–O)
Ms. Germinator	Puzzle	Aug 20, 2013	List_of_PlayStation_Vita_games_(M–O)
MUD: FIM Motocross World Championship	Racing	Feb 26, 2013	List_of_PlayStation_Vita_games_(M–O)
Muramasa Rebirth	Action role-playing	Jun 25, 2013	List_of_PlayStation_Vita_games_(M–O)
Murasaki Baby	Puzzle	Sep 16, 2014	List_of_PlayStation_Vita_games_(M–O)
Murasaki Mist: Akara's Journey	Action role-playing	Mar 15, 2016	List_of_PlayStation_Vita_games_(M–O)
Mushroom Heroes	Platform	Jul 22, 2020	List_of_PlayStation_Vita_games_(M–O)
Musynx	Rhythm	Jun 19, 2018	List_of_PlayStation_Vita_games_(M–O)
Mutant Mudds Deluxe	Platform	Dec 17, 2013	List_of_PlayStation_Vita_games_(M–O)
Mutant Mudds: Super Challenge	Platform	Jul 26, 2016	List_of_PlayStation_Vita_games_(M–O)
Muv-Luv	Visual novel	Jun 12, 2018	List_of_PlayStation_Vita_games_(M–O)
Muv-Luv Alternative	Visual novel	Jun 12, 2018	List_of_PlayStation_Vita_games_(M–O)
MXGP The Official Motocross Videogame	Racing	Nov 18, 2014	List_of_PlayStation_Vita_games_(M–O)
My Aunt is a Witch	Adventure	Nov 25, 2020	List_of_PlayStation_Vita_games_(M–O)
My Big Sister	Role-playing	May 7, 2019	List_of_PlayStation_Vita_games_(M–O)
My Name is Mayo	Adventure	Nov 8, 2016	List_of_PlayStation_Vita_games_(M–O)
My Singing Monsters	Simulation	Aug 12, 2014	List_of_PlayStation_Vita_games_(M–O)
Mystery Chronicle: One Way Heroics	Roguelike	Sep 13, 2016	List_of_PlayStation_Vita_games_(M–O)
Natural Doctrine	Tactical role-playing	Sep 30, 2014	List_of_PlayStation_Vita_games_(M–O)
Necrosphere Deluxe	Platform	Jan 31, 2019	List_of_PlayStation_Vita_games_(M–O)
Need a packet?	Simulation	Jul 24, 2020	List_of_PlayStation_Vita_games_(M–O)
Need for Speed: Most Wanted	Racing	Oct 30, 2012	List_of_PlayStation_Vita_games_(M–O)
Nekoburo CatsBlock	Puzzle	Jul 7, 2015	List_of_PlayStation_Vita_games_(M–O)
Neon Chrome	Shooter	Nov 29, 2016	List_of_PlayStation_Vita_games_(M–O)
Neon Junctions	Puzzle	Jun 4, 2019	List_of_PlayStation_Vita_games_(M–O)
NeuroVoider	Shooter	Mar 15, 2018	List_of_PlayStation_Vita_games_(M–O)
NeverEnd	Roguelike	Aug 25, 2017	List_of_PlayStation_Vita_games_(M–O)
Neverending Nightmares	Survival horror	May 3, 2016	List_of_PlayStation_Vita_games_(M–O)
New Little King's Story	Action role-playing	Oct 2, 2012	List_of_PlayStation_Vita_games_(M–O)
Nidhogg	Fighting	Oct 14, 2014	List_of_PlayStation_Vita_games_(M–O)
Night Trap: 25th Anniversary Edition	Adventure	Nov 2, 2018	List_of_PlayStation_Vita_games_(M–O)
Nihilumbra	Puzzle-platform	Jan 27, 2015	List_of_PlayStation_Vita_games_(M–O)
Ninja Gaiden Sigma 2 Plus	Action-adventure	Feb 26, 2013	List_of_PlayStation_Vita_games_(M–O)
Ninja Gaiden Sigma Plus	Action-adventure	Feb 22, 2012	List_of_PlayStation_Vita_games_(M–O)
Ninja Senki DX	Platform	Feb 23, 2016	List_of_PlayStation_Vita_games_(M–O)
Ninja Usagimaru: Two Tails of Adventure	Platform	Jul 7, 2017	List_of_PlayStation_Vita_games_(M–O)
No Heroes Allowed: No Puzzles Either!	Puzzle	Apr 15, 2014	List_of_PlayStation_Vita_games_(M–O)
Norman's Great Illusion	Simulation	Nov 19, 2020	List_of_PlayStation_Vita_games_(M–O)
Norn9: Var Commons	Otome game	Nov 3, 2015	List_of_PlayStation_Vita_games_(M–O)
North	Adventure	Mar 6, 2018	List_of_PlayStation_Vita_games_(M–O)
Nova-111	Puzzle	Aug 25, 2015	List_of_PlayStation_Vita_games_(M–O)
Nuclear Throne	Roguelike	Dec 5, 2015	List_of_PlayStation_Vita_games_(M–O)
Nun Attack	Action	Mar 19, 2013	List_of_PlayStation_Vita_games_(M–O)
Nurse Love Addiction	Visual novel	Jun 22, 2017	List_of_PlayStation_Vita_games_(M–O)
Nurse Love Syndrome	Visual novel	Apr 18, 2019	List_of_PlayStation_Vita_games_(M–O)
Oceanhorn: Monster of Uncharted Seas	Action-adventure	May 17, 2017	List_of_PlayStation_Vita_games_(M–O)
Octodad: Dadliest Catch	Adventure	May 26, 2015	List_of_PlayStation_Vita_games_(M–O)
Oddworld: Munch's Oddysee HD	Platform	Dec 16, 2014	List_of_PlayStation_Vita_games_(M–O)
Oddworld: New 'n' Tasty!	Platform	Jan 19, 2016	List_of_PlayStation_Vita_games_(M–O)
Oddworld: Stranger's Wrath HD	Action-adventure	Dec 18, 2012	List_of_PlayStation_Vita_games_(M–O)
